entity,code,year,gdp_per_capita,gdp_per_capita__annotations
World,OWID_WRL,1820,1127.73,
World,OWID_WRL,1850,1300.502,
World,OWID_WRL,1870,1543.2267,
World,OWID_WRL,1900,2265.4688,
World,OWID_WRL,1920,2493.3152,
World,OWID_WRL,1940,3413.199,
World,OWID_WRL,1950,3360.164,
World,OWID_WRL,1960,4403.6543,
World,OWID_WRL,1970,5970.6577,
World,OWID_WRL,1980,7239.1943,
World,OWID_WRL,1990,8210.969,
World,OWID_WRL,2000,9903.86,
World,OWID_WRL,2010,13121.591,
World,OWID_WRL,2015,14713.451,
World,OWID_WRL,2016,15029.054,
World,OWID_WRL,2017,15416.331,
World,OWID_WRL,2018,15814.849,
World,OWID_WRL,2019,16091.449,
World,OWID_WRL,2020,15461.187,
World,OWID_WRL,2021,16282.981,
World,OWID_WRL,2022,16676.75,
