growth,g,target_share_pct,years_needed,year_reached
低 (1.0%),0.01,10.0,21.154663836226312,2045.1546638362263
低 (1.0%),0.01,5.0,90.81538072980113,2114.8153807298013
低 (1.0%),0.01,2.5,160.47609762337595,2184.476097623376
基准 (1.5%),0.015,10.0,14.13804707096493,2038.1380470709648
基准 (1.5%),0.015,5.0,60.69357270177111,2084.6935727017712
基准 (1.5%),0.015,2.5,107.24909833257729,2131.2490983325774
中高 (2.0%),0.02,10.0,10.629695802971066,2034.6296958029711
中高 (2.0%),0.02,5.0,45.63248458411756,2069.6324845841177
中高 (2.0%),0.02,2.5,80.63527336526407,2104.635273365264
AI 高情景 (3.0%),0.03,10.0,7.1212596010454465,2031.1212596010455
AI 高情景 (3.0%),0.03,5.0,30.57103185148318,2054.571031851483
AI 高情景 (3.0%),0.03,2.5,54.020804101920916,2078.020804101921
