iso3,country,internet_pct,account_pct,egdi_score,egdi_rank,eid_pct,oecd_tax,wdi_tax,socx,pop65_pct,pop65_2050,gov_debt,gdp_pc_ppp,population_M,gini,experience,gini_used,k_net
DNK,Denmark,99.76915157,98.6505141065248,0.9847,1.0,95.0,44.0,33.3582767843919,30.0,20.8660704666167,26.0,75.3312600417617,71034.5789667138,5.976992,29.9,无全国实验(政党提案),0.299,0.21399999251595506
SWE,Sweden,95.52930428,98.5654945145745,,,94.0,41.7,27.2263453447308,25.5,20.7467682423653,,,62558.4065876041,10.569709,29.3,,0.293,0.20960144857096374
NOR,Norway,99.0,98.5561571037813,,,97.0,44.3,24.5424706002351,26.0,18.7852406279027,,30.9484525212916,94803.6704931641,5.572279,26.5,,0.265,0.18916030339119763
ISL,Iceland,98.209198,99.8548358099717,,,95.0,38.6,23.1574850740894,,15.6448154592516,,80.0942484071315,68230.356652817,0.386506,26.8,,0.268,0.19134400108995797
EST,Estonia,92.23796204,98.9011091256392,0.9727,2.0,99.0,33.0,22.6679583165361,22.0,21.2973321004949,,,41185.8348356109,1.372341,30.7,,0.307,0.21987539073553145
NLD,Netherlands,97.00679779,99.171512250031,,,90.0,38.0,25.2758922306144,22.0,20.4960775816586,28.0,54.214654102661,70493.9051219267,17.993485,25.7,,0.257,0.18334424628359502
CHE,Switzerland,97.3443985,98.412309687795,,,,26.5,9.45066745280502,17.0,20.0190518226838,27.0,22.2786942016816,85448.0585577007,9.005582,33.8,2016 公投被否(76.9%),0.33799999999999997,0.24276536777227248
FIN,Finland,93.72405196,99.842681813058,,,93.0,40.4,25.3281786132257,31.4,23.8972369428395,30.0,58.3135962623348,55901.3202296588,5.619911,27.4,Kela 2017-18 全国实验,0.27399999999999997,0.19571589103267817
DEU,Germany,93.49999579,98.2983235670699,,,,38.3,10.890812364142,26.7,23.1955871731941,32.0,20.8541847518408,62654.602264023,83.516593,33.7,,0.337,0.24202377002297346
FRA,France,88.65381638,99.1902372350206,,,,43.9,22.778486344686,32.0,22.1465618989138,30.0,,54799.3482689389,68.551653,31.8,,0.318,0.22797469970988882
GBR,United Kingdom,95.4720993,99.2843092777584,,7.0,,35.3,26.8890215407942,23.8,19.4997673608515,27.0,130.735888365813,53412.0647163589,69.281,32.4,,0.324,0.23240293460490805
USA,United States,94.69380188,97.0230983290589,,,,27.7,10.7694743667429,18.7,17.9287302134033,24.0,115.768352618316,75698.1773354629,340.003797,41.8,阿拉斯加分红+CTC+OpenResearch,0.418,0.30289992348181427
CAN,Canada,94.353302,98.4047126063262,,,,33.2,13.7145570395982,19.0,19.7995907648324,28.0,64.1314232901439,57534.0915185335,41.262329,31.5,,0.315,0.22576337385034295
AUS,Australia,96.13140106,98.0103778290099,,,,29.6,23.5614929509239,16.7,17.7300159228367,25.0,57.8834285733848,60309.5831772339,27.194286,33.8,,0.33799999999999997,0.24276536777227248
JPN,Japan,85.54153081,98.5235592091779,,,80.0,34.0,11.1445521483154,22.3,29.7807703973917,38.0,,47479.8448545667,123.975371,32.3,2020 公明党特别定额给付提案,0.32299999999999995,0.231664372746456
KOR,"Korea, Rep.",97.89563777,96.8949448884961,,4.0,,30.5,13.2937188380388,14.8,19.2735131316057,40.0,47.8141426119509,55070.9386194121,51.751065,32.9,疫情灾害给付(普惠式),0.32899999999999996,0.2360989280401994
SGP,Singapore,94.37757178,97.9718288419762,,3.0,97.0,,13.5602685073681,,13.6562182859265,,167.799832036767,134548.764138482,6.03686,,,0.29,0.20740468743934476
ARE,United Arab Emirates,100.0,85.7421930087712,,,,,0.647516088466425,,1.76696037563358,,1.80326819075483,69701.785835525,10.9864,26.4,,0.264,0.1884327320491575
ESP,Spain,95.7574516,98.3807416463989,,,,37.5,14.934361142298,26.0,21.1454438932121,36.0,105.639074777338,48460.2914069661,48.84884,33.4,,0.33399999999999996,0.2398003090926241
ITA,Italy,89.2207202,86.0191093278992,,,,42.9,25.6045418430039,30.5,24.624776723376,37.0,77.2855315218802,53284.8745049149,58.952704,34.3,,0.34299999999999997,0.24647672814469251
AUT,Austria,94.91974877,99.5084974640411,,,,43.1,25.7804428492832,30.5,20.6064031791903,,,63787.9891749462,9.177982,31.2,,0.312,0.22355387824001438
PRT,Portugal,88.48704454,91.3973440748621,,,,36.8,22.3472676749446,23.0,24.5306498594644,36.0,5.6574045702943,42228.1580446502,10.694681,33.9,,0.33899999999999997,0.24350718908238425
POL,Poland,88.58496367,86.1367117566539,,,,35.2,17.9988487014512,21.3,20.1434028173028,,60.4543984704576,45153.0439773281,36.559233,28.5,,0.285,0.20374706392881897
LUX,Luxembourg,98.7606147,98.7678546822929,,,,39.0,28.636905101724,,15.4763638200631,,2.90134514586522,128475.283540415,0.677012,33.6,,0.336,0.24128239492844258
NZL,New Zealand,93.51930237,97.8647563722742,,,,32.8,29.5208304137113,,17.1957543080631,,51.9851333336419,48325.3650985684,5.29,,,0.29,0.20740468743934476
ISR,Israel,88.18242225,89.2691974119826,,,,32.4,23.2419259606462,,12.5526937672772,,88.3064793540794,47388.7236682364,10.0022,38.3,,0.38299999999999995,0.276382902593201
