iso3,country,alpha,gross_pct_gdp,net_pct_gdp,incremental_R5,incremental_R10,tax_headroom_to_DK_pp,gini_used,k_net
DNK,Denmark,0.1,10.0,2.1399999251595507,-2.8600000748404493,-7.86000007484045,0.0,0.299,0.21399999251595506
DNK,Denmark,0.2,20.0,4.2799998503191015,-0.7200001496808985,-5.7200001496808985,0.0,0.299,0.21399999251595506
DNK,Denmark,0.3,30.0,6.419999775478652,1.4199997754786517,-3.5800002245213483,0.0,0.299,0.21399999251595506
SWE,Sweden,0.1,10.0,2.096014485709637,-2.903985514290363,-7.903985514290363,2.299999999999997,0.293,0.20960144857096374
SWE,Sweden,0.2,20.0,4.192028971419274,-0.8079710285807256,-5.807971028580726,2.299999999999997,0.293,0.20960144857096374
SWE,Sweden,0.3,30.0,6.2880434571289126,1.2880434571289126,-3.7119565428710874,2.299999999999997,0.293,0.20960144857096374
NOR,Norway,0.1,10.0,1.8916030339119763,-3.1083969660880237,-8.108396966088023,-0.29999999999999716,0.265,0.18916030339119763
NOR,Norway,0.2,20.0,3.7832060678239525,-1.2167939321760475,-6.2167939321760475,-0.29999999999999716,0.265,0.18916030339119763
NOR,Norway,0.3,30.0,5.674809101735929,0.6748091017359288,-4.325190898264071,-0.29999999999999716,0.265,0.18916030339119763
ISL,Iceland,0.1,10.0,1.9134400108995797,-3.0865599891004205,-8.08655998910042,5.399999999999999,0.268,0.19134400108995797
ISL,Iceland,0.2,20.0,3.8268800217991594,-1.1731199782008406,-6.173119978200841,5.399999999999999,0.268,0.19134400108995797
ISL,Iceland,0.3,30.0,5.740320032698739,0.7403200326987394,-4.259679967301261,5.399999999999999,0.268,0.19134400108995797
EST,Estonia,0.1,10.0,2.1987539073553144,-2.8012460926446856,-7.801246092644686,11.0,0.307,0.21987539073553145
EST,Estonia,0.2,20.0,4.397507814710629,-0.6024921852893712,-5.602492185289371,11.0,0.307,0.21987539073553145
EST,Estonia,0.3,30.0,6.596261722065943,1.5962617220659432,-3.403738277934057,11.0,0.307,0.21987539073553145
NLD,Netherlands,0.1,10.0,1.8334424628359502,-3.1665575371640498,-8.16655753716405,6.0,0.257,0.18334424628359502
NLD,Netherlands,0.2,20.0,3.6668849256719005,-1.3331150743280995,-6.3331150743280995,6.0,0.257,0.18334424628359502
NLD,Netherlands,0.3,30.0,5.50032738850785,0.5003273885078503,-4.49967261149215,6.0,0.257,0.18334424628359502
CHE,Switzerland,0.1,10.0,2.427653677722725,-2.572346322277275,-7.572346322277275,17.5,0.33799999999999997,0.24276536777227248
CHE,Switzerland,0.2,20.0,4.85530735544545,-0.14469264455455022,-5.14469264455455,17.5,0.33799999999999997,0.24276536777227248
CHE,Switzerland,0.3,30.0,7.282961033168174,2.2829610331681742,-2.7170389668318258,17.5,0.33799999999999997,0.24276536777227248
FIN,Finland,0.1,10.0,1.9571589103267817,-3.0428410896732183,-8.042841089673217,3.6000000000000014,0.27399999999999997,0.19571589103267817
FIN,Finland,0.2,20.0,3.9143178206535634,-1.0856821793464366,-6.085682179346437,3.6000000000000014,0.27399999999999997,0.19571589103267817
FIN,Finland,0.3,30.0,5.871476730980345,0.8714767309803451,-4.128523269019655,3.6000000000000014,0.27399999999999997,0.19571589103267817
DEU,Germany,0.1,10.0,2.4202377002297344,-2.5797622997702656,-7.579762299770266,5.700000000000003,0.337,0.24202377002297346
DEU,Germany,0.2,20.0,4.840475400459469,-0.15952459954053122,-5.159524599540531,5.700000000000003,0.337,0.24202377002297346
DEU,Germany,0.3,30.0,7.260713100689204,2.2607131006892036,-2.7392868993107964,5.700000000000003,0.337,0.24202377002297346
