方案,毛成本万亿,毛成本%GDP,含行为+15%,净转移%GDP,占农村人均可支配%,占城镇人均可支配%
¥200/月,3.3816,2.5067457375833953,2.882757598220904,0.64959486305206,11.064496795906136,4.631327068176994
¥500/月,8.454,6.2668643439584875,7.20689399555226,1.62398715763015,27.66124198976534,11.578317670442484
¥1000/月,16.908,12.533728687916975,14.41378799110452,3.2479743152603,55.32248397953068,23.156635340884968
基础养老金123→500(仅1.8亿领取者),0.8161296,0.6049885841363973,,,,
基础养老金123→1000(仅1.8亿领取者),1.8985296,1.4073607116382505,,,,
基础养老金143→500(仅1.8亿领取者),0.7728336,0.5728936990363233,,,,
[融资] 碳税 ¥100/吨,,0.9340252038547072,,,,
[融资] 碳税 $75/吨(≈¥535),,4.997034840622684,,,,
[融资] 国企利润上缴 +10pp,,0.340993328391401,,,,
[融资] 数据分红上界(全球),,0.5,,,,
