=== 数字就绪度记分卡 ===
iso3  internet_pct  account_pct  eid_pct  egdi_rank  oecd_tax  socx  pop65_pct  gov_debt
 DNK          99.8         98.7     95.0        1.0      44.0  30.0       20.9      75.3
 SWE          95.5         98.6     94.0        NaN      41.7  25.5       20.7       NaN
 NOR          99.0         98.6     97.0        NaN      44.3  26.0       18.8      30.9
 ISL          98.2         99.9     95.0        NaN      38.6   NaN       15.6      80.1
 EST          92.2         98.9     99.0        2.0      33.0  22.0       21.3       NaN
 NLD          97.0         99.2     90.0        NaN      38.0  22.0       20.5      54.2
 CHE          97.3         98.4      NaN        NaN      26.5  17.0       20.0      22.3
 FIN          93.7         99.8     93.0        NaN      40.4  31.4       23.9      58.3
 DEU          93.5         98.3      NaN        NaN      38.3  26.7       23.2      20.9
 FRA          88.7         99.2      NaN        NaN      43.9  32.0       22.1       NaN
 GBR          95.5         99.3      NaN        7.0      35.3  23.8       19.5     130.7
 USA          94.7         97.0      NaN        NaN      27.7  18.7       17.9     115.8
 CAN          94.4         98.4      NaN        NaN      33.2  19.0       19.8      64.1
 AUS          96.1         98.0      NaN        NaN      29.6  16.7       17.7      57.9
 JPN          85.5         98.5     80.0        NaN      34.0  22.3       29.8       NaN
 KOR          97.9         96.9      NaN        4.0      30.5  14.8       19.3      47.8
 SGP          94.4         98.0     97.0        3.0       NaN   NaN       13.7     167.8
 ARE         100.0         85.7      NaN        NaN       NaN   NaN        1.8       1.8
 ESP          95.8         98.4      NaN        NaN      37.5  26.0       21.1     105.6
 ITA          89.2         86.0      NaN        NaN      42.9  30.5       24.6      77.3
 AUT          94.9         99.5      NaN        NaN      43.1  30.5       20.6       NaN
 PRT          88.5         91.4      NaN        NaN      36.8  23.0       24.5       5.7
 POL          88.6         86.1      NaN        NaN      35.2  21.3       20.1      60.5
 LUX          98.8         98.8      NaN        NaN      39.0   NaN       15.5       2.9
 NZL          93.5         97.9      NaN        NaN      32.8   NaN       17.2      52.0
 ISR          88.2         89.3      NaN        NaN      32.4   NaN       12.6      88.3

=== UBI 情景 (α=20% 人均GDP) ===
iso3  gross_pct_gdp  net_pct_gdp  incremental_R5  incremental_R10  tax_headroom_to_DK_pp
 DNK           20.0          4.3            -0.7             -5.7                    0.0
 SWE           20.0          4.2            -0.8             -5.8                    2.3
 NOR           20.0          3.8            -1.2             -6.2                   -0.3
 ISL           20.0          3.8            -1.2             -6.2                    5.4
 EST           20.0          4.4            -0.6             -5.6                   11.0
 NLD           20.0          3.7            -1.3             -6.3                    6.0
 CHE           20.0          4.9            -0.1             -5.1                   17.5
 FIN           20.0          3.9            -1.1             -6.1                    3.6
 DEU           20.0          4.8            -0.2             -5.2                    5.7
 FRA           20.0          4.6            -0.4             -5.4                    0.1
 GBR           20.0          4.6            -0.4             -5.4                    8.7
 USA           20.0          6.1             1.1             -3.9                   16.3
 CAN           20.0          4.5            -0.5             -5.5                   10.8
 AUS           20.0          4.9            -0.1             -5.1                   14.4
 JPN           20.0          4.6            -0.4             -5.4                   10.0
 KOR           20.0          4.7            -0.3             -5.3                   13.5
 SGP           20.0          4.1            -0.9             -5.9                    NaN
 ARE           20.0          3.8            -1.2             -6.2                    NaN
 ESP           20.0          4.8            -0.2             -5.2                    6.5
 ITA           20.0          4.9            -0.1             -5.1                    1.1
 AUT           20.0          4.5            -0.5             -5.5                    0.9
 PRT           20.0          4.9            -0.1             -5.1                    7.2
 POL           20.0          4.1            -0.9             -5.9                    8.8
 LUX           20.0          4.8            -0.2             -5.2                    5.0
 NZL           20.0          4.1            -0.9             -5.9                   11.2
 ISR           20.0          5.5             0.5             -4.5                   11.6

=== 融资菜单 (α=20%, 替换 5% GDP 现金转移后) ===
iso3              country  incremental_pct_gdp  carbon_rev_75usd_pct_gdp  income_tax_uplift_pp  tax_increase_pct_of_current
 DNK              Denmark                -0.72                      0.50                 -0.72                        -1.64
 SWE               Sweden                -0.81                      0.43                 -0.81                        -1.94
 NOR               Norway                -1.22                      0.53                 -1.22                        -2.75
 ISL              Iceland                -1.17                      1.08                 -1.17                        -3.04
 EST              Estonia                -0.60                      1.10                 -0.60                        -1.83
 NLD          Netherlands                -1.33                      0.68                 -1.33                        -3.51
 CHE          Switzerland                -0.14                      0.31                 -0.14                        -0.55
 FIN              Finland                -1.09                      0.71                 -1.09                        -2.69
