indicator,iso3,country,year,value
gdp_current_usd,ARG,Argentina,2024,638365455340.04
gdp_current_usd,ARG,Argentina,2023,649461687959.174
gdp_current_usd,ARG,Argentina,2022,633993756301.08
gdp_current_usd,ARG,Argentina,2021,486564085480.036
gdp_current_usd,ARG,Argentina,2020,385740508436.965
gdp_current_usd,ARG,Argentina,2019,447754683615.225
gdp_current_usd,ARG,Argentina,2018,524819892360.176
gdp_current_usd,ARG,Argentina,2017,643628393281.364
gdp_current_usd,ARG,Argentina,2016,557532320662.955
gdp_current_usd,ARG,Argentina,2015,594749285413.212
gdp_current_usd,ARG,Argentina,2014,526319673731.638
gdp_current_usd,ARG,Argentina,2013,552025140252.246
gdp_current_usd,ARG,Argentina,2012,545982375701.128
gdp_current_usd,ARG,Argentina,2011,530158122010.442
gdp_current_usd,ARG,Argentina,2010,423627422092.49
gdp_current_usd,ARG,Argentina,2009,332976484577.619
gdp_current_usd,ARG,Argentina,2008,361558037110.419
gdp_current_usd,ARG,Argentina,2007,287530508430.568
gdp_current_usd,ARG,Argentina,2006,232557260817.308
gdp_current_usd,ARG,Argentina,2005,198737095012.282
gdp_current_usd,ARG,Argentina,2004,164657930452.787
gdp_current_usd,ARG,Argentina,2003,127586973492.177
gdp_current_usd,ARG,Argentina,2002,97724004251.8602
gdp_current_usd,ARG,Argentina,2001,268696750000
gdp_current_usd,ARG,Argentina,2000,284203750000
gdp_current_usd,ARG,Argentina,1999,283523000000
gdp_current_usd,ARG,Argentina,1998,298948250000
gdp_current_usd,ARG,Argentina,1997,292859000000
gdp_current_usd,ARG,Argentina,1996,272149750000
gdp_current_usd,ARG,Argentina,1995,258031750000
gdp_current_usd,ARG,Argentina,1994,257440000000
gdp_current_usd,ARG,Argentina,1993,236741715015.015
gdp_current_usd,ARG,Argentina,1992,228778917308.17
gdp_current_usd,ARG,Argentina,1991,189719984268.485
gdp_current_usd,ARG,Argentina,1990,141352654305.163
gdp_current_usd,BGD,Bangladesh,2024,450119432068.852
gdp_current_usd,BGD,Bangladesh,2023,437415333018.291
gdp_current_usd,BGD,Bangladesh,2022,460131689083.083
gdp_current_usd,BGD,Bangladesh,2021,416271647911.014
gdp_current_usd,BGD,Bangladesh,2020,373979442362.193
gdp_current_usd,BGD,Bangladesh,2019,351231654603.692
gdp_current_usd,BGD,Bangladesh,2018,321362752441.78
gdp_current_usd,BGD,Bangladesh,2017,293732446624.596
gdp_current_usd,BGD,Bangladesh,2016,265224515675.034
gdp_current_usd,BGD,Bangladesh,2015,195146608978.131
gdp_current_usd,BGD,Bangladesh,2014,172886611653.786
gdp_current_usd,BGD,Bangladesh,2013,149998957434.186
gdp_current_usd,BGD,Bangladesh,2012,133310747603.483
