year,citations,title,authors,venue,doi,openalex_id,type,query
1997,74891,Gapped BLAST and PSI-BLAST: a new generation of protein database search programs,Stephen F. Altschul,Nucleic Acids Research,10.1093/nar/25.17.3389,W2158714788,article,Real Freedom for All what if just pay
2014,8282,What Will 5G Be?,Jeffrey G. Andrews; Stefano Buzzi; Wan Choi; Stephen V. Hanly; Angel Lozano; Anthony C. K. Soong,IEEE Journal on Selected Areas in Communications,10.1109/jsac.2014.2328098,W2054692642,article,Real Freedom for All what if just pay
2013,4461,The China Syndrome: Local Labor Market Effects of Import Competition in the United States,David Autor; David Dorn; Gordon Hanson,American Economic Review,10.1257/aer.103.6.2121,W2097916756,article,relative demand negative effects technology structure employment tasks
2015,3425,The roads ahead: Narratives for shared socioeconomic pathways describing world futures in the 21st century,Brian C. O’Neill; Elmar Kriegler; Kristie L. Ebi; Eric Kemp‐Benedict; Keywan Riahi; Dale S. Rothman,Global Environmental Change,10.1016/j.gloenvcha.2015.01.004,W1992193293,article,Capital in the Twenty-First Century Piketty
2012,3339,Impacts of biological invasions: what's what and the way forward,Daniel Simberloff; Jean‐Louis Martin; Piero Genovesi; Virginie Maris; David A. Wardle; James Aronson,Trends in Ecology & Evolution,10.1016/j.tree.2012.07.013,W2140460700,article,Real Freedom for All what if just pay
2000,3293,"Beyond Computation: Information Technology, Organizational Transformation and Business Performance",Erik Brynjolfsson; Lorin M. Hitt,The Journal of Economic Perspectives,10.1257/jep.14.4.23,W2151169308,article,relative demand negative effects technology structure employment tasks
2008,3282,The Economic Consequences of Legal Origins,Rafael La Porta; Florencio López‐de‐Silanes; Andrei Shleifer,Journal of Economic Literature,10.1257/jel.46.2.285,W3121522673,article,Progress and Poverty Henry George land dividend
2023,3220,2023 Alzheimer's disease facts and figures,,Alzheimer s & Dementia,10.1002/alz.13016,W4324309277,article,digital payments government transfers COVID last mile evidence
2005,2549,New Public Management Is Dead--Long Live Digital-Era Governance,Patrick Dunleavy,Journal of Public Administration Research and Theory,10.1093/jopart/mui057,W2123431441,article,power and productivity in era of automation under new deal
2019,2436,Automation and New Tasks: How Technology Displaces and Reinstates Labor,Daron Acemoğlu; Pascual Restrepo,The Journal of Economic Perspectives,10.1257/jep.33.2.3,W2922903482,article,Robots and Jobs Evidence from US Labor Markets Acemoglu Restrepo
2010,2201,"Skills, Tasks and Technologies: Implications for Employment and Earnings",Daron Acemoğlu; David Autor,National Bureau of Economic Research,10.3386/w16082,W2106022734,report,relative demand negative effects technology structure employment tasks
2020,2174,The Fall of the Labor Share and the Rise of Superstar Firms*,David Autor; David Dorn; Lawrence F. Katz; Christina Patterson; John Van Reenen,The Quarterly Journal of Economics,10.1093/qje/qjaa004,W2611356021,article,fall of labor share rise of superstar firms Autor Dorn Katz
2004,2032,Institutions as the Fundamental Cause of Long-Run Growth,Daron Acemoğlu; Simon Johnson; James A. Robinson,National Bureau of Economic Research,10.3386/w10481,W2108614304,report,Progress and Poverty Henry George land dividend
2018,1943,Robots at Work,Georg Graetz; Guy Michaels,The Review of Economics and Statistics,10.1162/rest_a_00754,W3122245868,article,future of employment computerisation susceptible Frey Osborne
2006,1933,The wealth of networks: how social production transforms markets and freedom,"Benkler, Yochai 1964-",Choice Reviews Online,10.5860/choice.44-0999,W2535163083,book-review,Real Freedom for All what if just pay
2020,1903,The Rise of Market Power and the Macroeconomic Implications*,Jan De Loecker; Jan Eeckhout; Gabriel Unger,The Quarterly Journal of Economics,10.1093/qje/qjz041,W2964383261,article,fall of labor share rise of superstar firms Autor Dorn Katz
2017,1863,Understanding and misunderstanding randomized controlled trials,Angus Deaton; Nancy Cartwright,Social Science & Medicine,10.1016/j.socscimed.2017.12.005,W2515189678,article,universal basic income inflation prices general equilibrium village
2002,1799,Decentralization of Governance and Development,Pranab Bardhan,The Journal of Economic Perspectives,10.1257/089533002320951037,W2143775898,article,mobile money cash transfer delivery costs governance developing countries
2002,1764,Active Ageing: A Policy Framework,Alexandre Kalache; Anna Gatti,The Aging Male,10.1080/713604647,W50326776,article,OECD basic income as a policy option can it work
2018,1761,"Three frames for innovation policy: R&D, systems of innovation and transformative change",Johan Schot; W. Edward Steinmueller,Research Policy,10.1016/j.respol.2018.08.011,W2889003232,article,OECD basic income as a policy option can it work
2018,1642,Health Care Spending in the United States and Other High-Income Countries,Irene Papanicolas; Liana Woskie; Ashish K. Jha,JAMA,10.1001/jama.2018.1150,W2790706219,article,OECD basic income as a policy option can it work
2018,1573,"Negative emissions—Part 2: Costs, potentials and side effects",Sabine Fuss; William F. Lamb; Max Callaghan; Jérôme Hilaire; Felix Creutzig; Thorben Amann,Environmental Research Letters,10.1088/1748-9326/aabf9f,W2804406438,article,relative demand negative effects technology structure employment tasks
